,condition,meaning
0,0,Regular
1,1,Acquisition
2,2,AveragePrice
3,3,AutomaticExecution
4,4,Bunched
5,5,BunchSold
6,6,CAPElection
7,7,CashTrade
8,8,Closing
9,9,Cross
10,10,DerivativelyPriced
11,11,Distribution
12,12,FormT(ExtendedHours)
13,13,FormTOutOfSequence
14,14,InterMarketSweep
15,15,MarketCenterOfficialClose
16,16,MarketCenterOfficialOpen
17,17,MarketCenterOpening
18,18,MarketCenterReOpenning
19,19,MarketCenterClosing
20,20,NextDay
21,21,PriceVariation
22,22,PriorReferencePrice
23,23,Rule155Amex
24,24,Rule127Nyse
25,25,Opening
26,26,Opened
27,27,RegularStoppedStock
28,28,ReOpening
29,29,Seller
30,30,SoldLast
31,31,SoldLastStoppedStock
32,32,SoldOutOfSequence
33,33,SoldOutOfSequenceStoppedStock
34,34,Split
35,35,StockOption
36,36,YellowFlag
37,37,OddLot
38,38,CorrectedConsolidatedClosePrice
39,39,Unknown
40,40,Held
41,41,TradeThruExempt
42,42,NonEligible
43,43,NonEligible-extended
44,44,Cancelled
45,45,Recovery
46,46,Correction
47,47,AsOf
48,48,AsOfCorrection
49,49,AsOfCancel
50,50,OOB
51,51,Summary
52,52,Contingent
53,53,Contingent(Qualified)
54,54,Errored
